latitude,longitude,name,status_color,status_name,claim_no,date_of_loss-DATE,coverage_a-DOLLAR,policy_no,loss_type
29.76894,-81.2548,Josh Smith,red,Fire,845301,8/27/14,86700,198121,FIRE
26.00601,-80.21648,Ray Garden,red,Fire,845270,8/30/14,262000,342370,FIRE
26.55803,-81.99025,Bill Schlep,red,Fire,845281,9/3/14,277100,394615,FIRE
25.90775,-80.22407,Gene Aulls,red,Fire,845277,9/1/14,189400,348473,FIRE
29.02661,-81.02961,Eric Huse,red,Fire,845221,8/20/14,261200,315291,FIRE-EQUIPMENT MALFUNCTION
30.34572,-81.47592,Ronald Smith,blue,Hail,845286,7/26/14,188500,262160,HAIL
25.81387,-80.27919,John Philips,orange,Liability,845259,7/12/14,212000,355292,LIABILITY-INJURY
25.72946,-80.34736,Otis Curtis,orange,Liability,845275,8/30/14,134900,396145,LIABILITY-PROPERTY
25.75654,-80.19131,Stanley Finch,orange,Liability,845252,9/1/14,50000,414916,LIABILITY-PROPERTY
28.37188,-80.74487,Chris Saddle,blue,Misc,845250,9/2/14,117300,183169,3RD PARTY VEHICLE HIT PROPERTY
26.54915,-81.91438,Craig Hutch,blue,Misc,845273,7/16/14,231800,267690,LIGHTNING
28.02182,-82.72359,Terry Jones,blue,Misc,845271,9/3/14,35000,379052,LIGHTNING/POWER SURGE
27.8092,-82.62932,Linda Friedman,blue,Misc,845213,8/29/14,233100,345002,LIGHTNING/POWER SURGE
28.12986,-82.77008,Jim Bentley,blue,Misc,845272,9/3/14,211500,184884,LIGHTNING/POWER SURGE
25.85545,-80.23042,Liz Baily,blue,Misc,845215,8/29/14,177300,335850,LIGHTNING/POWER SURGE
29.11238,-80.94586,Bret Wills,blue,Misc,845234,4/2/13,50000,372650,MISC
26.18006,-80.16515,Katie Hart,blue,Misc,845222,8/27/14,187500,169372,MISC
25.99425,-80.3599,Phil Baron,blue,Misc,845268,9/1/14,252400,288879,MISC
27.92058,-82.28043,Ted Martin,blue,Misc,845284,7/2/14,210300,359537,MISC - STRUCTURAL
27.45186,-82.58542,Willis Thomas,blue,Misc,845300,8/7/14,258100,389522,MISC - STRUCTURAL
25.97714,-80.18056,Gunner Kind,green,Theft,845288,9/3/14,190400,355751,THEFT/BURGLARY
26.57656,-80.14096,Kevin Ellis,green,Theft,845219,8/25/14,231800,309155,THEFT/BURGLARY
26.14666,-80.1554,Lisa Grant,green,Theft,845276,8/4/14,125800,154985,THEFT/BURGLARY
27.94608,-82.7416,Karl Marvin,green,Theft,845263,6/13/14,208700,353277,THEFT/BURGLARY
26.16737,-80.18994,Pete Simpson,green,Theft,845256,8/5/14,206000,303455,THEFT/BURGLARY
