latitude,longitude,name,loss_type,symbol,status_color,status_name,claim_no,date_of_loss-DATE,coverage_a-DOLLAR,policy_no,website-URL,Address1,City
27.7682,-82.6534,Bret Wills,MISC,circle,#ff00ff,Misc,845234,4/2/13,50000,372650,http://tampabay.rays.mlb.com/tb/ballpark/,1 Tropicana Dr,St Petersburg
27.9628,-82.518,Karl Marvin,THEFT/BURGLARY,circle,green,Theft,845263,6/13/14,208700,353277,http://www.shopinternationalplaza.com/,2223 N Westshore Blvd,Tampa
27.9514,-82.4638,Ted Martin,MISC - STRUCTURAL,circle,#ff00ff,Misc,845284,7/2/14,210300,359537,http://www.strazcenter.org,1010 N Macinnes Pl,Tampa
27.3825,-82.5619,John Philips,LIABILITY-INJURY,circle,orange,Liability,845259,7/12/14,212000,355292,http://www.ringling.org/,5401 Bay Shore Rd,Sarasota
26.1316,-81.8075,Craig Hutch,LIGHTNING,circle,#ff00ff,Misc,845273,7/16/14,231800,267690,http://www.naplesdowntown.com/naples-pier.htm,25 12th Ave S,Naples
25.7217,-80.2782,Ronald Smith,HAIL,circle,blue,Hail,845286,7/26/14,188500,262160,http://www.miami.edu/frost/index.php/frost/facilities/Concert_Halls/gusman_concert_hall/,1314 Miller Dr,Coral Gables
25.7876,-80.1899,Lisa Grant,THEFT/BURGLARY,square,green,Theft,845276,8/4/14,125800,154985,http://www.arshtcenter.org/,1300 Biscayne Blvd,Miami
27.9956,-82.4501,Eric Huse,FIRE-EQUIPMENT MALFUNCTION,square,red,Fire,845221,8/20/14,261200,315291,http://www.yelp.com/biz/taco-bus-tampa-8,913 E Hillsborough Ave,Tampa
26.829,-80.141,Kevin Ellis,THEFT/BURGLARY,square,green,Theft,845219,8/25/14,231800,309155,http://www.pgaresort.com/index,400 Avenue of the Champions,Palm Beach Gardens
26.7146,-80.034,Josh Smith,FIRE,square,red,Fire,845301,8/27/14,86700,198121,http://www.thebreakers.com/,1 South County Road,Palm Beach
28.5269,-80.7824,Katie Hart,MISC,square,#ff00ff,Misc,845222,8/27/14,187500,169372,https://www.kennedyspacecenter.com/,6225 Vectorspace Boulevard,Titusville
28.4741,-81.4676,Linda Friedman,LIGHTNING/POWER SURGE,square,#ff00ff,Misc,845213,8/29/14,233100,345002,https://www.universalorlando.com/,6000 Universal Blvd,Orlando
29.1862,-81.0706,Liz Baily,LIGHTNING/POWER SURGE,square,#ff00ff,Misc,845215,8/29/14,177300,335850,http://www.daytonainternationalspeedway.com/?homepage=true,1801 W International Speedway Blvd,Daytona Beach
30.199,-81.3948,Ray Garden,FIRE,square,red,Fire,845270,8/30/14,262000,342370,http://www.tpc.com/sawgrass-contact-and-directions,110 Championship Way,Ponte Vedra Beach
29.8976,-81.3115,Otis Curtis,LIABILITY-PROPERTY,square,orange,Liability,845275,8/30/14,134900,396145,http://www.nps.gov/casa/index.htm,1 S Castillio Dr,St Augustine
30.4379,-84.2818,Stanley Finch,LIABILITY-PROPERTY,triangle,orange,Liability,845252,9/1/14,50000,414916,http://www.flhistoriccapitol.gov/,400 S Monroe St,Tallahassee
30.3495,-87.3036,Phil Baron,MISC,triangle,#ff00ff,Misc,845268,9/1/14,252400,288879,http://www.navalaviationmuseum.org/,1750 Radford Blvd,Pensacola
28.0044,-82.0134,Chris Saddle,3RD PARTY VEHICLE HIT PROPERTY,triangle,#ff00ff,Misc,845250,9/2/14,117300,183169,https://corporate.publix.com/,3300 Publix Corporate Parkway,Lakeland
27.7952,-82.4026,Bill Schlep,FIRE,triangle,red,Fire,845281,9/3/14,277100,394615,http://www.tampaelectric.com/company/ourpowersystem/powerstations/bigbend/,603 Big Bend Rd,Apollo Beach
26.4528,-82.0141,Terry Jones,LIGHTNING/POWER SURGE,triangle,#ff00ff,Misc,845271,9/3/14,35000,379052,http://www.sanibeltrails.com/sanibel-lighthouse.aspx,112 Periwinkle Way,Sanibel
